b,,r,,g,
X,Y,X,Y,X,Y
630.5294070133737,2.8863486339203916,643.8592017354581,42.44059818313268,729.6142144475343,10.406687660561872
635.4169984114712,2.8760326681774018,646.3029974345068,41.780548308343555,734.5018058456319,10.49179437794156
640.3045898095688,2.925033505456611,649.1911196242918,41.110501771513,739.3893972437295,10.74969352151637
645.1921812076664,3.033351145758033,652.3014050594448,40.490438544889564,744.2769886418272,11.22164895425827
650.0797726057641,3.1726166832884246,655.661624145637,39.925340073240505,749.1645800399248,11.91539765047451
654.9673640038617,3.3660410409695345,659.6821617666731,39.336094259160305,754.0521714380224,12.779359781450125
659.8549554019594,3.551728424343409,663.3503237957503,38.60606775008121,758.93976283612,13.746481569855668
664.742546800057,3.734836816281515,666.4856738021756,37.957656400745705,763.8273542342176,14.677497478160738
669.6301381981546,3.9153662167838803,669.1858117074185,37.333722325254875,768.7149456323152,15.487300788985642
674.5177295962521,4.057210745750027,671.649804065137,36.733032236678554,773.6025370304128,16.095942767822194
679.4053209943497,4.178423343230193,674.2753696922143,36.09344236061302,778.4901284285105,16.4982654317989
684.2929123924473,4.294477957838851,676.2950355591968,35.484227272568525,783.3777198266081,16.732953652451982
689.180503790545,4.415690555319017,678.5166680128775,34.894469242133724,788.2653112247057,16.843850284189145
694.0680951886426,4.539482144234924,680.7383004665583,34.27886398642065,793.1529026228033,16.95990489879781
698.9556865867403,4.629746844486121,682.959932920239,33.64907427781096,798.8482205016363,17.14798195706159
703.8432779848379,4.67874768176533,685.1815653739197,33.01644767862195,803.8167384004709,17.27196286252333
708.7308693829355,4.634904827357602,687.4031978276005,32.3781472982743,808.7043297985684,17.509230074612155
713.618460781033,4.542061135670664,689.6248302812812,31.745520699085283,813.591921196666,17.77228720105846
718.5060521791306,4.426006521062007,692.0686259803299,31.059465993985697,818.4795125947636,18.014712396018787
723.3936435772282,4.333162829375084,694.7345849247467,30.32660259432727,823.3671039928613,18.210715745135644
728.2812349753259,4.258372077738372,697.4005438691637,29.641020704324234,828.2546953909589,18.321612376872814
733.1688263734235,4.28158300066012,700.0665028135807,28.98853587107996,833.1422867890565,18.22618969375013
738.0564177715212,4.395058623833037,702.9546250033654,28.312072557939032,838.029878187154,17.976027524482568
742.9440091696188,4.562693067156658,706.0649104385184,27.651482323039552,842.9174695852518,17.56854687763436
747.8316005677164,4.7999602792454965,709.2344394057698,27.018315363740193,847.8050609833493,17.06048556479199
752.7191919658139,5.083649337177789,712.7298077995608,26.36854921730111,852.6926523814469,16.562740217692607
757.6067833639115,5.421497215260771,716.2844197254499,25.737341063401757,857.5802437795445,16.088205793514952
762.4943747620092,5.82381987923749,721.1720111235475,25.230730433241995,862.4678351776422,15.670409180923755
767.3819661601068,6.324144217772613,726.0596025216452,24.76651197480733,867.3554265757398,15.317087354226267
772.5657752186952,6.910434937499346,730.9471939197427,24.614351480098193,872.2430179738374,14.93797561317129
