b,,g,,r,
X,Y,X,Y,X,Y
431.5580344051908,0.7688764689872876,461.61052190324745,0.13409626734320845,459.5857089157897,0.021588780558090548
432.8368636604273,0.7800953458565116,462.46307474007176,0.14588883677960884,461.93022921705654,0.021588780558090548
434.1156929156638,0.7911867354885858,463.315627576896,0.1573626881231337,464.27474951832335,0.021588780558090548
435.3092668872178,0.8018106719177753,464.3173771601646,0.16926999607296933,466.61926981959016,0.021588780558090548
437.20619694915183,0.8130295487869995,465.0562562854123,0.18114614047594613,468.963790120857,0.021588780558090548
439.209696115689,0.8248603643945451,465.69567091303054,0.19400818617955173,471.30831042212384,0.021588780558090548
441.0426847148612,0.8361472344569161,466.3350855406488,0.20698355387173528,473.65283072339065,0.021588780558090548
442.9396147767953,0.8467881691843924,466.974500168267,0.2198455995753409,475.9973510246575,0.02321134539454861
445.09231068977664,0.8591103901424081,467.6139147958852,0.23287762826181335,478.34187132592433,0.027476372964666762
447.43683099104345,0.8691239331331206,468.25332942350343,0.245852995953997,480.68639162719114,0.030628784646928198
449.78135129231026,0.878117578226631,468.8039364639525,0.2581413490904263,483.03091192845795,0.030767861632910343
452.12587159357713,0.8840051706332073,469.50847665549475,0.2706138504582949,485.37543222972477,0.030767861632910343
454.47039189484394,0.8886410701659446,470.17157330635814,0.2828526252247213,487.7199525309916,0.030767861632910343
456.81491219611075,0.8859058894416296,470.5623266899026,0.29447521167825474,490.06447283225845,0.031370528572166156
459.15943249737757,0.8807600409602913,471.0478081664275,0.3062536158660829,492.40899313352526,0.035867351118921365
461.5039527986444,0.8761705004228814,471.4740845848397,0.31854905162679836,494.75351343479207,0.04045689165633126
463.8484730999112,0.8716736778761262,471.9003610032518,0.3308444873875138,497.09803373605894,0.04147678955353351
465.979855191972,0.8635711556927975,472.5677634765234,0.3447573369852065,499.44255403732575,0.041708584530170345
467.89809907482663,0.8517856688806832,472.9660520492822,0.35826840862339526,501.78707433859256,0.044814637217104325
469.7950291367607,0.8404648022217388,473.5995461710892,0.3727311274156654,504.1315946398594,0.04903330579189513
470.8984292505737,0.8299755446174362,474.22830388824707,0.38819107970742217,506.4761149411262,0.050655870628353306
472.26743236355117,0.8192764234073631,474.611952664818,0.4009270546987346,508.820635242393,0.05070222962368054
473.65283072339065,0.8080757590005888,475.1447981878332,0.4140964862963581,511.1651555436598,0.05288110240406707
475.03822908323014,0.7966686866860475,475.62435915854684,0.4276356308817173,513.5096758449267,0.057238847964840245
476.3170583384666,0.7845573991567714,476.1394431641282,0.44042685034246154,515.8541961461935,0.06182838850225014
